id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Allerton-Pelham Gardens, 0.00239687, 0.00260355, 0.00299265, 0.00267115, 0.0017838 , 0.00091393,  0.00061929, 0.00041989, 0.00048515, 0.00089797, 0.00234303, 0.00318953,  0.005295  , 0.01050826, 0.008989  , 0.00568428, 0.00480971, 0.00391247,  0.00228791, 0.00164693, 0.00129038, 0.0016433 , 0.00136113, 0.00185429
Annadale-Huguenot-Prince's Bay-Eltingville,  4.50340753e-06,  7.30395685e-06,  5.28651976e-06,  1.03525330e-05,   5.21600700e-06,  6.17520286e-06,  6.99458892e-07,  5.86246412e-07,   9.97341736e-07,  1.47162972e-06,  2.07879400e-06,  3.36730049e-06,   7.49363416e-06,  8.43919013e-06,  3.10934046e-04,  4.82946577e-06,   3.10229355e-04,  2.60408478e-06,  7.97470183e-05,  1.83604644e-06,   2.64721869e-06,  6.72064325e-06,  2.36781390e-04,  2.33486702e-04
Arden Heights,  4.50340753e-06,  7.30395685e-06,  5.28651976e-06,  1.25207051e-04,   5.21600700e-06,  3.85950178e-05,  6.99458892e-07,  5.86246412e-07,   9.97341736e-07,  1.47162972e-06,  1.68949258e-05,  3.36730049e-06,   7.49363416e-06,  8.43919013e-06,  2.00602610e-06,  4.82946577e-06,   7.51177664e-06,  2.60408478e-06,  7.41567409e-05,  7.38090668e-05,   1.90832920e-04,  6.72064325e-06,  9.78167023e-05,  1.42770314e-04
Astoria, 0.09436797, 0.10418071, 0.10619128, 0.07874312,-0.00554061,-0.04869919, -0.03093572,-0.02186147,-0.02734106,-0.03171907,-0.04040892,-0.05119144, -0.10517965,-0.16227132,-0.09902347,-0.05722511,-0.04069424,-0.04012644, -0.01485747, 0.00152355, 0.01529946, 0.02862689, 0.04417236, 0.0693624 
Auburndale, 0.00189525, 0.0020293 , 0.00244093, 0.00337942, 0.00104156, 0.00109764,  0.00031836, 0.0003453 , 0.00041469, 0.000668  , 0.00125404, 0.00247264,  0.00524604, 0.00993293, 0.00789371, 0.00511634, 0.00463083, 0.00351763,  0.00193013, 0.0015544 , 0.00133339, 0.00158209, 0.00156074, 0.00184219
Baisley Park,  6.99349659e-03,  7.48061357e-03,  5.61668695e-03,  5.21709066e-03,   2.17593234e-03,  2.66460003e-03,  4.04321359e-06,  5.86246412e-07,   1.26012969e-04,  1.29944905e-03,  2.75787931e-03,  3.66745469e-03,   9.67677958e-03,  9.89696850e-03,  1.48586353e-02,  8.94050021e-03,   8.66248254e-03,  1.13277196e-02,  8.06825341e-03,  6.94551887e-03,   5.18850748e-03,  5.24909392e-03,  5.69177704e-03,  5.95769074e-03
Bath Beach, 0.00191936, 0.0021668 , 0.00346363, 0.00339856, 0.00189584, 0.00079506,  0.00023811, 0.00026063, 0.00014874, 0.0004965 , 0.00086882, 0.00151679,  0.00370385, 0.00651689, 0.00443934, 0.00394258, 0.00285581, 0.00196716,  0.00164502, 0.00112941, 0.00144899, 0.00171781, 0.00196247, 0.00216877
Battery Park City-Lower Manhattan, 0.09851603, 0.10782031, 0.13225671, 0.15950499, 0.05088401, 0.01698335,  0.0789969 , 0.12068437, 0.15366566, 0.23193016, 0.26601091, 0.10798015, -0.24177361,-0.3415953 ,-0.43718731,-0.32063808,-0.26043968,-0.30794231, -0.20773881,-0.11797223,-0.06039152,-0.001244  , 0.05250772, 0.07733939
Bay Ridge, 0.02856821, 0.03069317, 0.03395628, 0.03749121, 0.02042395, 0.00738709,  0.00246839, 0.00086741, 0.00158301, 0.00312753, 0.00708419, 0.01203113,  0.03065546, 0.04815659, 0.04089284, 0.02912149, 0.02275261, 0.02255653,  0.01943888, 0.01541777, 0.01763565, 0.0221604 , 0.02375719, 0.02710973
Bayside-Bayside Hills, 0.00427797, 0.00498951, 0.00546866, 0.00433654, 0.00244202, 0.00142184,  0.00070958, 0.00054084, 0.00076928, 0.00158789, 0.00380242, 0.00370159,  0.00896688, 0.015039  , 0.01553266, 0.0106822 , 0.00902024, 0.00671485,  0.00438985, 0.00292874, 0.00250821, 0.00339697, 0.00331169, 0.00366559
